Date,Close,Ticker
28-12-2021,713.7403564,N
29-12-2021,713.6433716,N
30-12-2021,713.6433716,N
31-12-2021,717.960022,N
03-01-2022,741.7739258,N
04-01-2022,749.6795654,N
05-01-2022,764.4239502,N
06-01-2022,761.5137939,N
07-01-2022,769.4680176,N
10-01-2022,786.4432983,N
11-01-2022,786.3463135,N
12-01-2022,799.0535889,N
13-01-2022,799.9750977,N
14-01-2022,795.4160156,N
17-01-2022,794.7369995,N
18-01-2022,798.4230347,N
19-01-2022,784.3577881,N
20-01-2022,785.958252,N
21-01-2022,780.3807373,N
24-01-2022,774.512146,N
25-01-2022,777.6162109,N
27-01-2022,770.8260498,N
28-01-2022,757.730835,N
31-01-2022,765.1514282,N
01-02-2022,786.0068359,N
02-02-2022,789.3533936,N
03-02-2022,784.6972656,N
04-02-2022,780.9142456,N
07-02-2022,762.8234253,N
08-02-2022,768.7405396,N
09-02-2022,778.7316895,N
10-02-2022,781.350708,N
11-02-2022,767.0913696,N
14-02-2022,731.1037598,N
15-02-2022,752.7836304,N
16-02-2022,741.1434326,N
17-02-2022,727.854126,N
18-02-2022,726.4476929,N
21-02-2022,731.8312378,N
22-02-2022,728.7756958,N
23-02-2022,722.2765503,N
24-02-2022,686.1918945,N
25-02-2022,708.1627197,N
28-02-2022,720.4334717,N
02-03-2022,693.418457,N
03-03-2022,677.364624,N
04-03-2022,667.421875,N
07-03-2022,634.1502686,N
08-03-2022,645.0629272,N
09-03-2022,647.4395752,N
10-03-2022,656.3151855,N
11-03-2022,657.5762939,N
14-03-2022,675.2790527,N
15-03-2022,676.4431152,N
16-03-2022,686.7738037,N
17-03-2022,698.5109863,N
21-03-2022,689.4414673,N
22-03-2022,696.6680298,N
23-03-2022,696.7650146,N
24-03-2022,683.0878296,N
25-03-2022,678.2861938,N
28-03-2022,689.0533447,N
29-03-2022,693.8549805,N
30-03-2022,708.9873047,N
31-03-2022,708.4052734,N
01-04-2022,714.1769409,N
04-04-2022,724.2165527,N
05-04-2022,719.5604248,N
06-04-2022,719.3664551,N
07-04-2022,726.1080933,N
08-04-2022,731.6856689,N
11-04-2022,736.8268433,N
